id,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,source
1.0,Clare Wilson,DNA sequencing may give hope to critically ill adults in hospital,"Genome analysis as a way of helping people with baffling medical conditions has so far mainly been seen as a diagnostic tool for babies and children, but it also helps adults",https://www.newscientist.com/article/2424475-dna-sequencing-may-give-hope-to-critically-ill-adults-in-hospital/,https://images.newscientist.com/wp-content/uploads/2024/03/27160533/SEI_197628059.jpg,2024-03-29T10:00:06Z,"Scientists genetically analysed stored blood samples collected during the Penn Medicine BioBank study
Daniel Burke Photography/Penn Medicine BioBank
Being in intensive care is bad enough, but it ca… [+389 chars]",new-scientist,New Scientist,
2.0,,"DNA study IDs descendants of George Washington from unmarked remains, findings to aid service member IDs going back to World War II","New DNA sequencing technologies have identified the historical remains of George Washington's grandnephews, Samuel Walter Washington and George Steptoe Washington Jr., and their mother, Lucy Payne Washington, from unmarked, fragmentary bones left at the Harew…",https://www.sciencedaily.com/releases/2024/03/240328111048.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-28T15:10:48Z,"New DNA sequencing technologies have identified the historical remains of George Washington's grandnephews, Samuel Walter Washington and George Steptoe Washington Jr., and their mother, Lucy Payne Wa… [+3627 chars]",,Science Daily,
3.0,,'Junk DNA' no more: New method to identify cancers from repeat elements of genetic code,"Repeats of DNA sequences, often referred to as 'junk DNA' or 'dark matter,' that are found in chromosomes and could contribute to cancer or other diseases have been challenging to identify and characterize. Now, researchers have developed a novel approach tha…",https://www.sciencedaily.com/releases/2024/03/240313185102.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-13T22:51:02Z,"Repeats of DNA sequences, often referred to as ""junk DNA"" or ""dark matter,"" that are found in chromosomes and could contribute to cancer or other diseases have been challenging to identify and charac… [+8429 chars]",,Science Daily,
4.0,Science X,DNA study IDs descendants of George Washington from unmarked remains,"New DNA sequencing technologies have identified the historical remains of George Washington's grandnephews, Samuel Walter Washington and George Steptoe Washington Jr., and their mother, Lucy Payne Washington, from unmarked, fragmentary bones left at the Harew…",https://phys.org/news/2024-03-dna-ids-descendants-george-washington.html,https://scx2.b-cdn.net/gfx/news/hires/2021/dnasequence.jpg,2024-03-28T15:00:02Z,"New DNA sequencing technologies have identified the historical remains of George Washington's grandnephews, Samuel Walter Washington and George Steptoe Washington Jr., and their mother, Lucy Payne Wa… [+4222 chars]",,Phys.Org,
5.0,Joseph Osmundson,Viral Genetics Confirms What On-the-Ground Activists Knew Early in the Mpox Outbreak,Molecular biology could have changed the mpox epidemic—and could stop future outbreaks,https://www.scientificamerican.com/article/viral-genetics-confirms-what-on-the-ground-activists-knew-early-in-the-mpox/,https://static.scientificamerican.com/dam/m/3f1bbed97aa6436a/original/2JKN18T-web.jpg?w=1200,2024-03-27T11:00:00Z,"In June 2022 I sat shaking my head as I heard from senior U.S. government officials that mpox (then monkeypox) was under control. At the time, my dear friend back home in New York, to whom I’d spoken… [+7533 chars]",,Scientific American,
6.0,,AI reveals prostate cancer is not just one disease,"Artificial Intelligence has helped scientists reveal a new form of aggressive prostate cancer, which could revolutionise how the disease is diagnosed and treated in the future.",https://www.ox.ac.uk/news/2024-03-05-ai-reveals-prostate-cancer-not-just-one-disease,https://www.ox.ac.uk/sites/files/oxford/bcar_cancer_cell.jpg,2024-03-13T20:17:16Z,"A Cancer Research UK-funded study, published in Cell Genomics, has revealed that prostate cancer, which affects one in eight men in their lifetime, includes two different subtypes termed evotypes.
T… [+3070 chars]",,Ox.ac.uk,
7.0,,We've had bird evolution all wrong,Genomic anamolies dating back to the time of the dinosaurs misled scientists about the evolutionary history of birds.,https://www.sciencedaily.com/releases/2024/04/240401190411.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-04-01T23:04:11Z,"An enormous meteor spelled doom for most dinosaurs 65 million years ago. But not all. In the aftermath of the extinction event, birds -- technically dinosaurs themselves -- flourished.Scientists have… [+4380 chars]",,Science Daily,
8.0,,When inequality is more than 'skin-deep': Social status leaves traces in the epigenome of spotted hyenas in Tanzania,A research consortium provides evidence that social behavior and social status are reflected at the molecular level of gene activation (epigenome) in juvenile and adult free-ranging spotted hyenas. They analyzed non-invasively collected gut epithelium samples…,https://www.sciencedaily.com/releases/2024/03/240328162633.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-28T20:26:33Z,A research consortium led by scientists from the Leibniz Institute for Zoo and Wildlife Research (Leibniz-IZW) provide evidence that social behaviour and social status are reflected at the molecular … [+6629 chars],,Science Daily,
9.0,Contributors to Wikimedia projects,Jamie Zawinski,Comments,https://en.wikipedia.org/wiki/Jamie_Zawinski,,2024-03-26T18:53:00Z,"Jamie Werner Zawinski (born November 3, 1968), commonly known as jwz, is an American computer programmer, blogger and impresario. He is best known for his role in the creation of Netscape Navigator, … [+10724 chars]",,Wikipedia.org,
10.0,Science X,Protein fragments ID two new 'extremophile' microbes—and may help find alien life,"Perfectly adapted microorganisms live in extreme environments, from deep-sea trenches to mountaintops. Learning more about how these extremophiles survive in hostile conditions could inform scientists about life on Earth and potential life on other planets.",https://phys.org/news/2024-03-protein-fragments-id-extremophile-microbes.html,https://scx2.b-cdn.net/gfx/news/hires/2024/protein-fragments-id-t.jpg,2024-03-15T16:08:38Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+2616 chars]",,Phys.Org,
11.0,fortune.com,Carl Icahn has called off the dogs hounding DNA-sequencing company Illumina,"Carl Icahn has decided not to launch a fresh proxy fight at DNA sequencing company Illumina Inc. this year, a person familiar with the matter said. The activist investor didn’t nominate directors for seats on the board of Illumina before a deadline to do so p…",https://biztoc.com/x/2f3df49d52be9f3d,https://c.biztoc.com/p/2f3df49d52be9f3d/s.webp,2024-03-12T19:28:05Z,"Carl Icahn has decided not to launch a fresh proxy fight at DNA sequencing company Illumina Inc. this year, a person familiar with the matter said.The activist investor didnt nominate directors for s… [+272 chars]",,Biztoc.com,
