year,month,day,DNA sequencing,gene therapy,genetic diseases
1970,1,1,0,0,0
2024,3,7,0,0,0
2024,3,8,0,0,0
2024,3,9,0,0,0
2024,3,10,0,0,0
2024,3,11,0,0,0
2024,3,12,1,1,1
2024,3,13,0,0,0
2024,3,14,1,1,1
2024,3,15,0,0,0
2024,3,16,0,0,0
2024,3,18,1,1,1
2024,3,19,1,1,1
2024,3,20,4,4,4
2024,3,21,2,2,2
2024,3,22,0,0,0
2024,3,24,0,0,0
2024,3,25,0,0,0
2024,3,26,1,1,1
2024,3,27,2,2,2
2024,3,28,2,2,2
2024,3,29,2,2,2
2024,3,30,2,2,2
2024,3,31,2,2,2
2024,4,1,0,0,0
2024,4,2,7,7,7
2024,4,3,0,0,0
2024,4,4,0,0,0
2024,4,5,1,1,1
2024,4,6,0,0,0
2024,4,7,0,0,0
